Book Title,Author,Language,Date Published,Contributed by,Archive,Genre
A dog's tale,Mark Twain,English,1904,Google Books,ICDL,Fiction
A boy hero,Walter William,English,1886,University of Florida,ICDL,Fiction
A plea for old Cap Collier,Irvin S. Cobb,English,n.d.,Boston Public Library,ICDL,Humor
A princess of mars,Edgar Rice Burroughs,English,1917,Google Books,ICDL,Sci-Fi
A roupa nova do imprerador,Andr� Koogan Breitman,Portugu�s,2005,Andr� Koogan Breitman,ICDL,Humor
Les plus belles fables de La Fontaine,Jean de La Fontaine,French,1921,New York Public Library,Internet Archive Children's Library,Poetic Fable
Alice in Wonderland,Lewis Carroll,English,1916,University of Maryland,Internet Archive Children's Library,Fantasy Fiction
Celtic Tales,Louey Chisholm,English,1910,University of Maryland,Internet Archive Children's Library,Folklore
Cinderella,George Routledge and Sons,English,1865-1889,University of California Libraries,Internet Archive Children's Library,Fantasy
Sleeping Beauty in the Woods,Charles Perrault,English,1864-1870,University of California Libraries,Internet Archive Children's Library,Fairy Tale
